break_id,wave_time_pst,primary_wave_height,primary_period,primary_direction,primary_is_wind_sea,secondary_wave_height,secondary_period,secondary_direction,secondary_is_wind_sea,tertiary_wave_height,tertiary_period,tertiary_direction,tertiary_is_wind_sea,component_hs_total,cdip_calibrated_hs,anchor_ratio,ingested_at
1,2026-03-25 02:00:00,0.0638,18.18,230.8,False,0.0507,12.5,258.2,False,0.0289,4.0,286.7,True,1.002,0.0865,0.086315,2026-03-25 21:21:29.718464+00:00
1,2026-03-25 02:00:00,0.0643,18.18,230.8,False,0.0511,12.5,258.2,False,0.0292,4.0,286.7,True,1.002,0.0872,0.086998,2026-03-25 21:21:29.718464+00:00
1,2026-03-25 02:00:00,0.0643,18.18,230.8,False,0.0511,12.5,258.2,False,0.0292,4.0,286.7,True,1.002,0.0872,0.086998,2026-03-25 21:21:29.718464+00:00
1,2026-03-25 02:00:00,0.0643,18.18,230.8,False,0.0511,12.5,258.2,False,0.0292,4.0,286.7,True,1.002,0.0872,0.086998,2026-03-25 21:21:29.718464+00:00
1,2026-03-25 02:00:00,0.0651,18.18,230.8,False,0.0517,12.5,258.2,False,0.0295,4.0,286.7,True,1.002,0.0882,0.088058,2026-03-25 21:21:29.718464+00:00
1,2026-03-25 02:00:00,0.068,18.18,230.8,False,0.054,12.5,258.2,False,0.0308,4.0,286.7,True,1.002,0.0921,0.09195,2026-03-25 21:21:29.718464+00:00
2,2026-03-25 02:00:00,1.2806,18.18,230.8,False,0.9468,12.5,258.2,False,0.5209,4.0,286.7,True,1.3902,1.6756,1.205252,2026-03-25 21:21:29.718464+00:00
2,2026-03-25 02:00:00,1.3352,18.18,230.8,False,0.9872,12.5,258.2,False,0.5432,4.0,286.7,True,1.3902,1.7471,1.256713,2026-03-25 21:21:29.718464+00:00
2,2026-03-25 02:00:00,1.3352,18.18,230.8,False,0.9872,12.5,258.2,False,0.5432,4.0,286.7,True,1.3902,1.7471,1.256713,2026-03-25 21:21:29.718464+00:00
2,2026-03-25 02:00:00,1.2346,18.18,230.8,False,0.9128,12.5,258.2,False,0.5022,4.0,286.7,True,1.3902,1.6154,1.161963,2026-03-25 21:21:29.718464+00:00
2,2026-03-25 02:00:00,1.2507,18.18,230.8,False,0.9247,12.5,258.2,False,0.5088,4.0,286.7,True,1.3902,1.6365,1.177135,2026-03-25 21:21:29.718464+00:00
2,2026-03-25 02:00:00,1.3352,18.18,230.8,False,0.9872,12.5,258.2,False,0.5432,4.0,286.7,True,1.3902,1.7471,1.256713,2026-03-25 21:21:29.718464+00:00
3,2026-03-25 02:00:00,1.0248,18.18,230.8,False,0.753,12.5,258.2,False,0.4076,4.0,286.7,True,1.4782,1.3355,0.903419,2026-03-25 21:21:29.718464+00:00
3,2026-03-25 02:00:00,1.0557,18.18,230.8,False,0.7757,12.5,258.2,False,0.4199,4.0,286.7,True,1.4782,1.3757,0.930654,2026-03-25 21:21:29.718464+00:00
